Based on 1990 population
countrynm                     latitude                      longitude                     population
Russia                        54.0261820287                 55.545314979901               148141258
San Marino                    43.93830871582                12.463205337524               24882
Serbia and Montenegro         43.782191572941               20.743160770385               10546566
Slovakia                      48.655965401491               19.156955946472               5363651
Slovenia                      46.17347940847                14.904634504625               1990428
Spain                         39.811682899163               -3.3100666841037              39736856
Svalbard                      78.597373962402               15.905464172363               2906
Sweden                        58.966845584284               15.518522985388               8826951
Switzerland                   47.031060496116               7.968389676296                7118401
Ukraine                       48.810097822117               31.82549361255                51531049
United Kingdom                52.770593986097               -1.7016321372416              58605801

Based on 1995 population
countrynm                     latitude                      longitude                     population
Albania                       41.152193049351               19.949746754146               3134220
Andorra                       42.5130221328                 1.5595987673019               85952
Austria                       47.765571918456               14.656948194116               8079902
Belarus                       53.528475182143               27.884294870381               10187002
Belgium                       50.843500544967               4.4295147609508               10249377
Bosnia-Herzegovina            44.158941174531               17.745332820619               3977106
Bulgaria                      42.756500113597               25.080747959532               7949332
Croatia                       45.317636331618               16.262950476392               4653751
Cyprus                        34.976045874257               33.270405841492               783829
Czech Republic                49.821165594038               15.621551761602               10271615
Denmark                       55.853522702454               10.848556871086               5320060
Estonia                       58.96112628813                25.581654653782               1393474
Faeroe Islands                62.094673417306               -6.8992647022873              46233
Finland                       61.785796050465               24.97110667851                5171808
France                        47.161539715731               2.6729775228292               59237762
Germany                       50.866176075871               9.7113421771835               82016760
Gibraltar                     36.136024475098               -5.3476929664612              26597
Greece                        38.702107766704               23.293402820177               10609940
Guernsey                      49.484886169434               -2.5164697170258              56216
Holy See                      41.831249237061               12.541416168213               780
Hungary                       47.288801475052               19.384998383203               9967566
Iceland                       64.405514050397               -21.042640544452              279287
Ireland                       53.10993555628                -7.440647301535               3803084
Isle of Man                   54.185573768707               -4.5314520429235              75144
Italy                         42.860966434373               12.128649346281               57529978
Jersey                        49.219615936279               -2.1376717090607              86871
Latvia                        56.830772781143               24.482931859901               2420542
Liechtenstein                 47.15265017257                9.5490767358565               32640
Lithuania                     55.219508479925               23.887331586011               3696097
Luxembourg                    49.643236835768               6.0840150482973               436811
Macedonia                     41.737705027031               21.559673611064               2033973
Malta                         35.898770614257               14.458318173106               389940
Monaco                        43.740207672119               7.4421668052673               33420
Netherlands                   52.075856154569               5.2891468210944               15863748
Norway                        61.169103038312               9.9753545071398               4469037
Poland                        51.702424987056               19.308317285913               38605458
Portugal                      39.736024840027               -9.1757075143836              10015502
Republic of Moldova           47.178991605426               28.597556145227               4295454
Romania                       45.688612669555               25.272183674041               22437697
Russia                        53.914903222109               55.039010033025               145491161
San Marino                    43.93830871582                12.463205337524               26514
Serbia and Montenegro         43.754492747123               20.745670522769               10552420
Slovakia                      48.659301373005               19.161850760249               5398678
Slovenia                      46.171422324412               14.898560901655               1987444
Spain                         39.766109345842               -3.3008876594371              39910240
Svalbard                      78.597373962402               15.905464172363               2376
Sweden                        58.939454288853               15.523066699297               8842094
Switzerland                   47.028484364209               7.9637894569693               7170439
Ukraine                       48.808715926217               31.798129838969               49568172
United Kingdom                52.757124494225               -1.6926157075248              59414632

Based on 2000 population
countrynm                     latitude                      longitude                     population
Albania                       41.174529494701               19.929275580053               3234261
Andorra                       42.513020857777               1.5595988866019               105395
Austria                       47.765386201318               14.645625300333               8041532
Belarus                       53.531624124024               27.847175354981               9983978
Belgium                       50.844005826061               4.4332869095216               10296537
Bosnia-Herzegovina            44.160791721547               17.753208075376               4208793
Bulgaria                      42.754116369708               25.083976957381               7569591
Croatia                       45.317637428417               16.262950671815               4660502
Cyprus                        34.971256769794               33.263699125182               814579
Czech Republic                49.821456149539               15.617527756779               10218427
Denmark                       55.853326754724               10.856715208377               5362167
Estonia                       58.957945858648               25.572740786761               1316257
Faeroe Islands                62.094658556062               -6.8992666870599              48516
Finland                       61.755732589277               24.98467066628                5189307
France                        47.143228746162               2.6764463428893               60302304
Germany                       50.855573924694               9.6963409646128               81860002
Gibraltar                     36.136024475098               -5.3476929664612              26409
Greece                        38.686808689502               23.323965300494               10630501
Guernsey                      49.484886169434               -2.5164697170258              56253
Holy See                      41.831249237061               12.541416168213               780
Hungary                       47.288770753717               19.388772968949               9720572
Iceland                       64.372216876845               -21.045029641756              288804
Ireland                       53.111585555903               -7.4282382442794              3989698
Isle of Man                   54.185676063553               -4.5305895148935              78562
Italy                         42.870086858764               12.12890612484                57165124
