year	country	bug	drug	metric	value
2012	Italy	Acinetobacter spp.	Aminoglycosides	pct_ns	83.333333333
2012	Netherlands	Acinetobacter spp.	Aminoglycosides	pct_ns	5.084745763
2012	Norway	Acinetobacter spp.	Aminoglycosides	pct_ns	4
2012	Poland	Acinetobacter spp.	Aminoglycosides	pct_ns	70.142180095
2012	Portugal	Acinetobacter spp.	Aminoglycosides	pct_ns	67.455621302
2012	Romania	Acinetobacter spp.	Aminoglycosides	pct_ns	74.074074074
2012	Slovenia	Acinetobacter spp.	Aminoglycosides	pct_ns	20
2012	United Kingdom	Acinetobacter spp.	Aminoglycosides	pct_ns	3.703703704
2013	Austria	Acinetobacter spp.	Aminoglycosides	pct_ns	9.803921569
2013	Bulgaria	Acinetobacter spp.	Aminoglycosides	pct_ns	68.131868132
2013	Cyprus	Acinetobacter spp.	Aminoglycosides	pct_ns	63.636363636
2013	Czech Republic	Acinetobacter spp.	Aminoglycosides	pct_ns	15.384615385
2013	Germany	Acinetobacter spp.	Aminoglycosides	pct_ns	6.666666667
2013	Denmark	Acinetobacter spp.	Aminoglycosides	pct_ns	1.333333333
2013	Greece	Acinetobacter spp.	Aminoglycosides	pct_ns	89.667896679
2013	Spain	Acinetobacter spp.	Aminoglycosides	pct_ns	71.428571429
2013	Finland	Acinetobacter spp.	Aminoglycosides	pct_ns	0
2013	France	Acinetobacter spp.	Aminoglycosides	pct_ns	11.246943765
2013	Croatia	Acinetobacter spp.	Aminoglycosides	pct_ns	84.07079646
2013	Hungary	Acinetobacter spp.	Aminoglycosides	pct_ns	63.213530655
2013	Ireland	Acinetobacter spp.	Aminoglycosides	pct_ns	1.136363636
2013	Italy	Acinetobacter spp.	Aminoglycosides	pct_ns	81.798245614
2013	Netherlands	Acinetobacter spp.	Aminoglycosides	pct_ns	4.47761194
2013	Norway	Acinetobacter spp.	Aminoglycosides	pct_ns	2.777777778
2013	Poland	Acinetobacter spp.	Aminoglycosides	pct_ns	75.916230366
2013	Portugal	Acinetobacter spp.	Aminoglycosides	pct_ns	57.142857143
2013	Romania	Acinetobacter spp.	Aminoglycosides	pct_ns	83.211678832
2013	Sweden	Acinetobacter spp.	Aminoglycosides	pct_ns	8.108108108
2013	Slovenia	Acinetobacter spp.	Aminoglycosides	pct_ns	20
2013	Slovakia	Acinetobacter spp.	Aminoglycosides	pct_ns	42.780748663
2013	United Kingdom	Acinetobacter spp.	Aminoglycosides	pct_ns	2.45398773
2014	Austria	Acinetobacter spp.	Aminoglycosides	pct_ns	8.860759494
2014	Bulgaria	Acinetobacter spp.	Aminoglycosides	pct_ns	66.666666667
2014	Cyprus	Acinetobacter spp.	Aminoglycosides	pct_ns	78.947368421
2014	Czech Republic	Acinetobacter spp.	Aminoglycosides	pct_ns	10.169491525
2014	Germany	Acinetobacter spp.	Aminoglycosides	pct_ns	4.060913706
2014	Denmark	Acinetobacter spp.	Aminoglycosides	pct_ns	1.666666667
2014	Greece	Acinetobacter spp.	Aminoglycosides	pct_ns	88.25
2014	Spain	Acinetobacter spp.	Aminoglycosides	pct_ns	61.25
2014	Finland	Acinetobacter spp.	Aminoglycosides	pct_ns	3.225806452
2014	France	Acinetobacter spp.	Aminoglycosides	pct_ns	8.557457213
2014	Croatia	Acinetobacter spp.	Aminoglycosides	pct_ns	82.530120482
2014	Hungary	Acinetobacter spp.	Aminoglycosides	pct_ns	59.459459459
2014	Ireland	Acinetobacter spp.	Aminoglycosides	pct_ns	2.247191011
2014	Italy	Acinetobacter spp.	Aminoglycosides	pct_ns	88.288288288
2014	Lithuania	Acinetobacter spp.	Aminoglycosides	pct_ns	80
2014	Latvia	Acinetobacter spp.	Aminoglycosides	pct_ns	71.153846154
2014	Malta	Acinetobacter spp.	Aminoglycosides	pct_ns	30
2014	Netherlands	Acinetobacter spp.	Aminoglycosides	pct_ns	5.479452055
2014	Norway	Acinetobacter spp.	Aminoglycosides	pct_ns	3.03030303
2014	Poland	Acinetobacter spp.	Aminoglycosides	pct_ns	58.510638298
2014	Portugal	Acinetobacter spp.	Aminoglycosides	pct_ns	42.264150943
2014	Romania	Acinetobacter spp.	Aminoglycosides	pct_ns	81.147540984
2014	Sweden	Acinetobacter spp.	Aminoglycosides	pct_ns	2.777777778
2014	Slovenia	Acinetobacter spp.	Aminoglycosides	pct_ns	32.352941176
2014	Slovakia	Acinetobacter spp.	Aminoglycosides	pct_ns	40.588235294
2014	United Kingdom	Acinetobacter spp.	Aminoglycosides	pct_ns	10.852713178
2015	Austria	Acinetobacter spp.	Aminoglycosides	pct_ns	6.349206349
2015	Belgium	Acinetobacter spp.	Aminoglycosides	pct_ns	0
2015	Bulgaria	Acinetobacter spp.	Aminoglycosides	pct_ns	76.724137931
2015	Cyprus	Acinetobacter spp.	Aminoglycosides	pct_ns	81.355932203
2015	Czech Republic	Acinetobacter spp.	Aminoglycosides	pct_ns	15
2015	Germany	Acinetobacter spp.	Aminoglycosides	pct_ns	5.792682927
2015	Denmark	Acinetobacter spp.	Aminoglycosides	pct_ns	4.761904762
2015	Greece	Acinetobacter spp.	Aminoglycosides	pct_ns	89.62962963
2015	Spain	Acinetobacter spp.	Aminoglycosides	pct_ns	54.166666667
2015	Finland	Acinetobacter spp.	Aminoglycosides	pct_ns	2.380952381
2015	France	Acinetobacter spp.	Aminoglycosides	pct_ns	11.600928074
2015	Croatia	Acinetobacter spp.	Aminoglycosides	pct_ns	88.324873096
2015	Hungary	Acinetobacter spp.	Aminoglycosides	pct_ns	60.64516129
2015	Ireland	Acinetobacter spp.	Aminoglycosides	pct_ns	3.75
2015	Italy	Acinetobacter spp.	Aminoglycosides	pct_ns	74.695121951
2015	Lithuania	Acinetobacter spp.	Aminoglycosides	pct_ns	90.410958904
2015	Latvia	Acinetobacter spp.	Aminoglycosides	pct_ns	59.016393443
2015	Malta	Acinetobacter spp.	Aminoglycosides	pct_ns	13.333333333
2015	Netherlands	Acinetobacter spp.	Aminoglycosides	pct_ns	10.810810811
2015	Norway	Acinetobacter spp.	Aminoglycosides	pct_ns	9.375
2015	Poland	Acinetobacter spp.	Aminoglycosides	pct_ns	70.204081633
2015	Portugal	Acinetobacter spp.	Aminoglycosides	pct_ns	46.451612903
2015	Romania	Acinetobacter spp.	Aminoglycosides	pct_ns	82.446808511
2015	Sweden	Acinetobacter spp.	Aminoglycosides	pct_ns	3.846153846
2015	Slovenia	Acinetobacter spp.	Aminoglycosides	pct_ns	41.935483871
2015	Slovakia	Acinetobacter spp.	Aminoglycosides	pct_ns	42.857142857
2015	United Kingdom	Acinetobacter spp.	Aminoglycosides	pct_ns	2.614379085
2012	Austria	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Belgium	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Bulgaria	Acinetobacter spp.	Aminoglycosides	n_res	38
2012	Cyprus	Acinetobacter spp.	Aminoglycosides	n_res	12
2012	Czech Republic	Acinetobacter spp.	Aminoglycosides	n_res	0
2012	Germany	Acinetobacter spp.	Aminoglycosides	n_res	7
