year	region	bug	drug	n_isolates	pct_resistant
2003	West North Central	Enterococcus faecium	Aminoglycosides	168	36
2004	West North Central	Enterococcus faecium	Aminoglycosides	165	58
2005	West North Central	Enterococcus faecium	Aminoglycosides	181	50
2006	West North Central	Enterococcus faecium	Aminoglycosides	182	52
2007	West North Central	Enterococcus faecium	Aminoglycosides	199	48
2008	West North Central	Enterococcus faecium	Aminoglycosides	153	26
2009	West North Central	Enterococcus faecium	Aminoglycosides	86	41
2010	West North Central	Enterococcus faecium	Aminoglycosides	90	49
2011	West North Central	Enterococcus faecium	Aminoglycosides	120	25
2012	West North Central	Enterococcus faecium	Aminoglycosides	66	18
1999	West South Central	Enterococcus faecium	Aminoglycosides	119	34
2000	West South Central	Enterococcus faecium	Aminoglycosides	90	36
2001	West South Central	Enterococcus faecium	Aminoglycosides	152	35
2002	West South Central	Enterococcus faecium	Aminoglycosides	232	22
2003	West South Central	Enterococcus faecium	Aminoglycosides	215	24
2004	West South Central	Enterococcus faecium	Aminoglycosides	238	37
2005	West South Central	Enterococcus faecium	Aminoglycosides	240	33
2006	West South Central	Enterococcus faecium	Aminoglycosides	284	26
2007	West South Central	Enterococcus faecium	Aminoglycosides	239	34
2008	West South Central	Enterococcus faecium	Aminoglycosides	263	36
2009	West South Central	Enterococcus faecium	Aminoglycosides	274	18
2010	West South Central	Enterococcus faecium	Aminoglycosides	269	21
2011	West South Central	Enterococcus faecium	Aminoglycosides	161	11
2012	West South Central	Enterococcus faecium	Aminoglycosides	96	8
1999	East North Central	Enterococcus faecium	Aminopenicillins	403	85
2000	East North Central	Enterococcus faecium	Aminopenicillins	352	82
2001	East North Central	Enterococcus faecium	Aminopenicillins	410	86
2002	East North Central	Enterococcus faecium	Aminopenicillins	246	85
2003	East North Central	Enterococcus faecium	Aminopenicillins	317	86
2004	East North Central	Enterococcus faecium	Aminopenicillins	478	92
2005	East North Central	Enterococcus faecium	Aminopenicillins	417	90
2006	East North Central	Enterococcus faecium	Aminopenicillins	480	95
2007	East North Central	Enterococcus faecium	Aminopenicillins	382	93
2008	East North Central	Enterococcus faecium	Aminopenicillins	238	92
2009	East North Central	Enterococcus faecium	Aminopenicillins	215	95
2010	East North Central	Enterococcus faecium	Aminopenicillins	317	97
2011	East North Central	Enterococcus faecium	Aminopenicillins	256	95
2012	East North Central	Enterococcus faecium	Aminopenicillins	142	94
1999	East South Central	Enterococcus faecium	Aminopenicillins	138	92
2000	East South Central	Enterococcus faecium	Aminopenicillins	150	97
2001	East South Central	Enterococcus faecium	Aminopenicillins	105	85
2002	East South Central	Enterococcus faecium	Aminopenicillins	135	81
2003	East South Central	Enterococcus faecium	Aminopenicillins	98	93
2004	East South Central	Enterococcus faecium	Aminopenicillins	139	83
2005	East South Central	Enterococcus faecium	Aminopenicillins	180	79
2006	East South Central	Enterococcus faecium	Aminopenicillins	95	84
2008	East South Central	Enterococcus faecium	Aminopenicillins	35	94
1999	Mid Atlantic	Enterococcus faecium	Aminopenicillins	121	90
2000	Mid Atlantic	Enterococcus faecium	Aminopenicillins	257	86
2001	Mid Atlantic	Enterococcus faecium	Aminopenicillins	300	82
2002	Mid Atlantic	Enterococcus faecium	Aminopenicillins	270	82
2003	Mid Atlantic	Enterococcus faecium	Aminopenicillins	265	83
2004	Mid Atlantic	Enterococcus faecium	Aminopenicillins	341	84
2005	Mid Atlantic	Enterococcus faecium	Aminopenicillins	356	90
2006	Mid Atlantic	Enterococcus faecium	Aminopenicillins	406	88
2007	Mid Atlantic	Enterococcus faecium	Aminopenicillins	389	85
2008	Mid Atlantic	Enterococcus faecium	Aminopenicillins	313	86
2009	Mid Atlantic	Enterococcus faecium	Aminopenicillins	167	85
2010	Mid Atlantic	Enterococcus faecium	Aminopenicillins	119	87
2011	Mid Atlantic	Enterococcus faecium	Aminopenicillins	103	81
2012	Mid Atlantic	Enterococcus faecium	Aminopenicillins	68	90
1999	Mountain	Enterococcus faecium	Aminopenicillins	36	83
2000	Mountain	Enterococcus faecium	Aminopenicillins	39	74
2001	Mountain	Enterococcus faecium	Aminopenicillins	41	78
2002	Mountain	Enterococcus faecium	Aminopenicillins	59	83
2003	Mountain	Enterococcus faecium	Aminopenicillins	71	75
2004	Mountain	Enterococcus faecium	Aminopenicillins	77	75
2005	Mountain	Enterococcus faecium	Aminopenicillins	85	82
2006	Mountain	Enterococcus faecium	Aminopenicillins	68	91
2005	New England	Enterococcus faecium	Aminopenicillins	36	89
2006	New England	Enterococcus faecium	Aminopenicillins	44	93
2007	New England	Enterococcus faecium	Aminopenicillins	40	83
2008	New England	Enterococcus faecium	Aminopenicillins	49	92
2009	New England	Enterococcus faecium	Aminopenicillins	33	82
2010	New England	Enterococcus faecium	Aminopenicillins	44	82
2011	New England	Enterococcus faecium	Aminopenicillins	42	81
2012	New England	Enterococcus faecium	Aminopenicillins	32	84
1999	Pacific	Enterococcus faecium	Aminopenicillins	199	84
2000	Pacific	Enterococcus faecium	Aminopenicillins	215	75
2001	Pacific	Enterococcus faecium	Aminopenicillins	223	71
2002	Pacific	Enterococcus faecium	Aminopenicillins	195	75
2003	Pacific	Enterococcus faecium	Aminopenicillins	225	82
2004	Pacific	Enterococcus faecium	Aminopenicillins	335	89
2005	Pacific	Enterococcus faecium	Aminopenicillins	290	87
2006	Pacific	Enterococcus faecium	Aminopenicillins	300	87
2007	Pacific	Enterococcus faecium	Aminopenicillins	310	87
2008	Pacific	Enterococcus faecium	Aminopenicillins	282	86
2009	Pacific	Enterococcus faecium	Aminopenicillins	266	83
2010	Pacific	Enterococcus faecium	Aminopenicillins	299	88
2011	Pacific	Enterococcus faecium	Aminopenicillins	281	86
2012	Pacific	Enterococcus faecium	Aminopenicillins	158	90
1999	South Atlantic	Enterococcus faecium	Aminopenicillins	94	68
2000	South Atlantic	Enterococcus faecium	Aminopenicillins	251	76
2001	South Atlantic	Enterococcus faecium	Aminopenicillins	228	79
2002	South Atlantic	Enterococcus faecium	Aminopenicillins	265	87
2003	South Atlantic	Enterococcus faecium	Aminopenicillins	300	83
2004	South Atlantic	Enterococcus faecium	Aminopenicillins	303	86
2005	South Atlantic	Enterococcus faecium	Aminopenicillins	409	89
2006	South Atlantic	Enterococcus faecium	Aminopenicillins	288	88
2007	South Atlantic	Enterococcus faecium	Aminopenicillins	360	91
2008	South Atlantic	Enterococcus faecium	Aminopenicillins	363	91
2009	South Atlantic	Enterococcus faecium	Aminopenicillins	302	93
2010	South Atlantic	Enterococcus faecium	Aminopenicillins	265	91
2011	South Atlantic	Enterococcus faecium	Aminopenicillins	252	88
2012	South Atlantic	Enterococcus faecium	Aminopenicillins	126	90
1999	West North Central	Enterococcus faecium	Aminopenicillins	126	93
2000	West North Central	Enterococcus faecium	Aminopenicillins	76	91
2001	West North Central	Enterococcus faecium	Aminopenicillins	104	77
2002	West North Central	Enterococcus faecium	Aminopenicillins	161	87
2003	West North Central	Enterococcus faecium	Aminopenicillins	179	87
2004	West North Central	Enterococcus faecium	Aminopenicillins	125	87
2005	West North Central	Enterococcus faecium	Aminopenicillins	117	91
2006	West North Central	Enterococcus faecium	Aminopenicillins	113	87
2007	West North Central	Enterococcus faecium	Aminopenicillins	147	86
2008	West North Central	Enterococcus faecium	Aminopenicillins	157	85
2009	West North Central	Enterococcus faecium	Aminopenicillins	88	80
2010	West North Central	Enterococcus faecium	Aminopenicillins	88	78
2011	West North Central	Enterococcus faecium	Aminopenicillins	120	88
2012	West North Central	Enterococcus faecium	Aminopenicillins	66	95
1999	West South Central	Enterococcus faecium	Aminopenicillins	177	81
2000	West South Central	Enterococcus faecium	Aminopenicillins	143	81
2001	West South Central	Enterococcus faecium	Aminopenicillins	193	75
2002	West South Central	Enterococcus faecium	Aminopenicillins	268	78
2003	West South Central	Enterococcus faecium	Aminopenicillins	241	84
2004	West South Central	Enterococcus faecium	Aminopenicillins	245	89
2005	West South Central	Enterococcus faecium	Aminopenicillins	266	84
2006	West South Central	Enterococcus faecium	Aminopenicillins	299	85
2007	West South Central	Enterococcus faecium	Aminopenicillins	275	87
2008	West South Central	Enterococcus faecium	Aminopenicillins	324	86
2009	West South Central	Enterococcus faecium	Aminopenicillins	297	88
2010	West South Central	Enterococcus faecium	Aminopenicillins	297	90
2011	West South Central	Enterococcus faecium	Aminopenicillins	180	89
2012	West South Central	Enterococcus faecium	Aminopenicillins	105	79
2002	East North Central	Enterococcus faecium	Linezolid	148	2
2003	East North Central	Enterococcus faecium	Linezolid	156	3
2004	East North Central	Enterococcus faecium	Linezolid	328	1
2005	East North Central	Enterococcus faecium	Linezolid	340	1
2006	East North Central	Enterococcus faecium	Linezolid	441	0
2007	East North Central	Enterococcus faecium	Linezolid	348	1
2008	East North Central	Enterococcus faecium	Linezolid	216	3
2009	East North Central	Enterococcus faecium	Linezolid	223	2
2010	East North Central	Enterococcus faecium	Linezolid	311	2
2011	East North Central	Enterococcus faecium	Linezolid	244	1
2012	East North Central	Enterococcus faecium	Linezolid	144	1
2003	East South Central	Enterococcus faecium	Linezolid	58	0
2004	East South Central	Enterococcus faecium	Linezolid	122	2
2005	East South Central	Enterococcus faecium	Linezolid	163	2
2006	East South Central	Enterococcus faecium	Linezolid	93	1
2008	East South Central	Enterococcus faecium	Linezolid	35	11
2002	Mid Atlantic	Enterococcus faecium	Linezolid	123	2
2003	Mid Atlantic	Enterococcus faecium	Linezolid	198	1
2004	Mid Atlantic	Enterococcus faecium	Linezolid	228	2
2005	Mid Atlantic	Enterococcus faecium	Linezolid	323	1
2006	Mid Atlantic	Enterococcus faecium	Linezolid	349	1
2007	Mid Atlantic	Enterococcus faecium	Linezolid	287	7
2008	Mid Atlantic	Enterococcus faecium	Linezolid	246	5
2009	Mid Atlantic	Enterococcus faecium	Linezolid	94	4
2010	Mid Atlantic	Enterococcus faecium	Linezolid	52	8
2011	Mid Atlantic	Enterococcus faecium	Linezolid	47	6
2002	Mountain	Enterococcus faecium	Linezolid	67	0
2003	Mountain	Enterococcus faecium	Linezolid	79	0
2004	Mountain	Enterococcus faecium	Linezolid	88	1
2005	Mountain	Enterococcus faecium	Linezolid	80	1
2006	Mountain	Enterococcus faecium	Linezolid	58	2
2007	Mountain	Enterococcus faecium	Linezolid	39	5
2005	New England	Enterococcus faecium	Linezolid	45	0
2006	New England	Enterococcus faecium	Linezolid	84	0
2007	New England	Enterococcus faecium	Linezolid	82	0
2008	New England	Enterococcus faecium	Linezolid	72	0
2009	New England	Enterococcus faecium	Linezolid	31	0
2010	New England	Enterococcus faecium	Linezolid	40	0
2011	New England	Enterococcus faecium	Linezolid	40	5
2012	New England	Enterococcus faecium	Linezolid	30	7
2002	Pacific	Enterococcus faecium	Linezolid	113	3
2003	Pacific	Enterococcus faecium	Linezolid	174	1
2004	Pacific	Enterococcus faecium	Linezolid	288	2
2005	Pacific	Enterococcus faecium	Linezolid	282	0
2006	Pacific	Enterococcus faecium	Linezolid	296	1
2007	Pacific	Enterococcus faecium	Linezolid	335	6
2008	Pacific	Enterococcus faecium	Linezolid	289	3
2009	Pacific	Enterococcus faecium	Linezolid	236	6
2010	Pacific	Enterococcus faecium	Linezolid	248	5
2011	Pacific	Enterococcus faecium	Linezolid	273	4
2012	Pacific	Enterococcus faecium	Linezolid	150	7
2002	South Atlantic	Enterococcus faecium	Linezolid	128	1
2003	South Atlantic	Enterococcus faecium	Linezolid	189	3
2004	South Atlantic	Enterococcus faecium	Linezolid	228	2
2005	South Atlantic	Enterococcus faecium	Linezolid	443	1
2006	South Atlantic	Enterococcus faecium	Linezolid	373	1
2007	South Atlantic	Enterococcus faecium	Linezolid	380	3
2008	South Atlantic	Enterococcus faecium	Linezolid	389	3
2009	South Atlantic	Enterococcus faecium	Linezolid	295	8
2010	South Atlantic	Enterococcus faecium	Linezolid	246	7
2011	South Atlantic	Enterococcus faecium	Linezolid	246	3
2012	South Atlantic	Enterococcus faecium	Linezolid	119	2
2003	West North Central	Enterococcus faecium	Linezolid	41	0
2004	West North Central	Enterococcus faecium	Linezolid	83	0
2005	West North Central	Enterococcus faecium	Linezolid	158	1
2006	West North Central	Enterococcus faecium	Linezolid	180	0
2007	West North Central	Enterococcus faecium	Linezolid	199	3
2008	West North Central	Enterococcus faecium	Linezolid	136	3
2009	West North Central	Enterococcus faecium	Linezolid	71	4
2010	West North Central	Enterococcus faecium	Linezolid	80	9
2011	West North Central	Enterococcus faecium	Linezolid	116	3
2012	West North Central	Enterococcus faecium	Linezolid	68	4
2002	West South Central	Enterococcus faecium	Linezolid	52	2
2003	West South Central	Enterococcus faecium	Linezolid	112	0
2004	West South Central	Enterococcus faecium	Linezolid	195	3
2005	West South Central	Enterococcus faecium	Linezolid	212	4
2006	West South Central	Enterococcus faecium	Linezolid	248	0
2007	West South Central	Enterococcus faecium	Linezolid	229	1
2008	West South Central	Enterococcus faecium	Linezolid	270	4
2009	West South Central	Enterococcus faecium	Linezolid	229	4
2010	West South Central	Enterococcus faecium	Linezolid	234	2
2011	West South Central	Enterococcus faecium	Linezolid	140	2
2012	West South Central	Enterococcus faecium	Linezolid	86	6
2001	West South Central	Enterococcus faecium	Teicoplanin	31	100
2002	West South Central	Enterococcus faecium	Teicoplanin	37	95
1999	East North Central	Enterococcus faecium	Vancomycin	408	67
2000	East North Central	Enterococcus faecium	Vancomycin	345	67
2001	East North Central	Enterococcus faecium	Vancomycin	408	74
2002	East North Central	Enterococcus faecium	Vancomycin	245	73
2003	East North Central	Enterococcus faecium	Vancomycin	314	73
2004	East North Central	Enterococcus faecium	Vancomycin	479	74
2005	East North Central	Enterococcus faecium	Vancomycin	425	73
2006	East North Central	Enterococcus faecium	Vancomycin	482	80
2007	East North Central	Enterococcus faecium	Vancomycin	405	78
2008	East North Central	Enterococcus faecium	Vancomycin	240	78
2009	East North Central	Enterococcus faecium	Vancomycin	225	83
2010	East North Central	Enterococcus faecium	Vancomycin	320	85
2011	East North Central	Enterococcus faecium	Vancomycin	256	86
2012	East North Central	Enterococcus faecium	Vancomycin	142	86
1999	East South Central	Enterococcus faecium	Vancomycin	133	68
2000	East South Central	Enterococcus faecium	Vancomycin	149	85
2001	East South Central	Enterococcus faecium	Vancomycin	104	82
2002	East South Central	Enterococcus faecium	Vancomycin	133	77
2003	East South Central	Enterococcus faecium	Vancomycin	97	80
2004	East South Central	Enterococcus faecium	Vancomycin	144	63
2005	East South Central	Enterococcus faecium	Vancomycin	182	67
2006	East South Central	Enterococcus faecium	Vancomycin	96	79
2008	East South Central	Enterococcus faecium	Vancomycin	35	80
1999	Mid Atlantic	Enterococcus faecium	Vancomycin	121	81
2000	Mid Atlantic	Enterococcus faecium	Vancomycin	253	74
2001	Mid Atlantic	Enterococcus faecium	Vancomycin	304	71
2002	Mid Atlantic	Enterococcus faecium	Vancomycin	270	68
2003	Mid Atlantic	Enterococcus faecium	Vancomycin	269	62
2004	Mid Atlantic	Enterococcus faecium	Vancomycin	367	56
2005	Mid Atlantic	Enterococcus faecium	Vancomycin	400	65
2006	Mid Atlantic	Enterococcus faecium	Vancomycin	424	69
2007	Mid Atlantic	Enterococcus faecium	Vancomycin	388	65
2008	Mid Atlantic	Enterococcus faecium	Vancomycin	314	69
2009	Mid Atlantic	Enterococcus faecium	Vancomycin	167	60
2010	Mid Atlantic	Enterococcus faecium	Vancomycin	125	67
2011	Mid Atlantic	Enterococcus faecium	Vancomycin	105	58
2012	Mid Atlantic	Enterococcus faecium	Vancomycin	68	71
1999	Mountain	Enterococcus faecium	Vancomycin	46	70
2000	Mountain	Enterococcus faecium	Vancomycin	62	76
2001	Mountain	Enterococcus faecium	Vancomycin	62	76
2002	Mountain	Enterococcus faecium	Vancomycin	98	76
2003	Mountain	Enterococcus faecium	Vancomycin	105	70
2004	Mountain	Enterococcus faecium	Vancomycin	99	62
2005	Mountain	Enterococcus faecium	Vancomycin	98	73
2006	Mountain	Enterococcus faecium	Vancomycin	81	65
2007	Mountain	Enterococcus faecium	Vancomycin	41	93
2005	New England	Enterococcus faecium	Vancomycin	53	62
2006	New England	Enterococcus faecium	Vancomycin	88	67
2007	New England	Enterococcus faecium	Vancomycin	86	79
2008	New England	Enterococcus faecium	Vancomycin	74	80
2009	New England	Enterococcus faecium	Vancomycin	33	73
2010	New England	Enterococcus faecium	Vancomycin	42	76
2011	New England	Enterococcus faecium	Vancomycin	39	74
2012	New England	Enterococcus faecium	Vancomycin	32	84
1999	Pacific	Enterococcus faecium	Vancomycin	200	56
2000	Pacific	Enterococcus faecium	Vancomycin	228	44
2001	Pacific	Enterococcus faecium	Vancomycin	252	49
2002	Pacific	Enterococcus faecium	Vancomycin	234	47
2003	Pacific	Enterococcus faecium	Vancomycin	259	43
2004	Pacific	Enterococcus faecium	Vancomycin	375	50
2005	Pacific	Enterococcus faecium	Vancomycin	359	58
2006	Pacific	Enterococcus faecium	Vancomycin	348	60
2007	Pacific	Enterococcus faecium	Vancomycin	364	67
2008	Pacific	Enterococcus faecium	Vancomycin	327	72
2009	Pacific	Enterococcus faecium	Vancomycin	301	72
2010	Pacific	Enterococcus faecium	Vancomycin	331	70
2011	Pacific	Enterococcus faecium	Vancomycin	320	66
2012	Pacific	Enterococcus faecium	Vancomycin	173	75
1999	South Atlantic	Enterococcus faecium	Vancomycin	105	42
2000	South Atlantic	Enterococcus faecium	Vancomycin	298	60
2001	South Atlantic	Enterococcus faecium	Vancomycin	272	68
2002	South Atlantic	Enterococcus faecium	Vancomycin	329	71
2003	South Atlantic	Enterococcus faecium	Vancomycin	410	70
2004	South Atlantic	Enterococcus faecium	Vancomycin	432	68
2005	South Atlantic	Enterococcus faecium	Vancomycin	516	65
2006	South Atlantic	Enterococcus faecium	Vancomycin	412	69
2007	South Atlantic	Enterococcus faecium	Vancomycin	404	73
2008	South Atlantic	Enterococcus faecium	Vancomycin	411	77
2009	South Atlantic	Enterococcus faecium	Vancomycin	323	75
2010	South Atlantic	Enterococcus faecium	Vancomycin	280	74
2011	South Atlantic	Enterococcus faecium	Vancomycin	261	70
2012	South Atlantic	Enterococcus faecium	Vancomycin	126	74
1999	West North Central	Enterococcus faecium	Vancomycin	125	87
2000	West North Central	Enterococcus faecium	Vancomycin	77	71
2001	West North Central	Enterococcus faecium	Vancomycin	107	69
2002	West North Central	Enterococcus faecium	Vancomycin	166	73
2003	West North Central	Enterococcus faecium	Vancomycin	185	75
2004	West North Central	Enterococcus faecium	Vancomycin	169	69
2005	West North Central	Enterococcus faecium	Vancomycin	183	59
2006	West North Central	Enterococcus faecium	Vancomycin	192	65
2007	West North Central	Enterococcus faecium	Vancomycin	218	71
2008	West North Central	Enterococcus faecium	Vancomycin	148	61
2009	West North Central	Enterococcus faecium	Vancomycin	80	45
2010	West North Central	Enterococcus faecium	Vancomycin	80	53
2011	West North Central	Enterococcus faecium	Vancomycin	122	67
2012	West North Central	Enterococcus faecium	Vancomycin	66	77
1999	West South Central	Enterococcus faecium	Vancomycin	180	52
2000	West South Central	Enterococcus faecium	Vancomycin	145	51
2001	West South Central	Enterococcus faecium	Vancomycin	187	54
2002	West South Central	Enterococcus faecium	Vancomycin	268	51
2003	West South Central	Enterococcus faecium	Vancomycin	244	51
2004	West South Central	Enterococcus faecium	Vancomycin	254	60
2005	West South Central	Enterococcus faecium	Vancomycin	268	55
2006	West South Central	Enterococcus faecium	Vancomycin	314	64
2007	West South Central	Enterococcus faecium	Vancomycin	280	67
2008	West South Central	Enterococcus faecium	Vancomycin	327	75
2009	West South Central	Enterococcus faecium	Vancomycin	301	76
2010	West South Central	Enterococcus faecium	Vancomycin	276	80
2011	West South Central	Enterococcus faecium	Vancomycin	161	80
2012	West South Central	Enterococcus faecium	Vancomycin	114	68
1999	East North Central	Escherichia coli	Aminoglycosides	1430	5
2000	East North Central	Escherichia coli	Aminoglycosides	1464	4
2001	East North Central	Escherichia coli	Aminoglycosides	1551	7
2002	East North Central	Escherichia coli	Aminoglycosides	1123	8
2003	East North Central	Escherichia coli	Aminoglycosides	1148	10
2004	East North Central	Escherichia coli	Aminoglycosides	1717	15
2005	East North Central	Escherichia coli	Aminoglycosides	1409	16
2006	East North Central	Escherichia coli	Aminoglycosides	1194	16
2007	East North Central	Escherichia coli	Aminoglycosides	1025	21
2008	East North Central	Escherichia coli	Aminoglycosides	948	16
2009	East North Central	Escherichia coli	Aminoglycosides	870	15
2010	East North Central	Escherichia coli	Aminoglycosides	847	22
2011	East North Central	Escherichia coli	Aminoglycosides	960	21
2012	East North Central	Escherichia coli	Aminoglycosides	381	19
1999	East South Central	Escherichia coli	Aminoglycosides	539	2
2000	East South Central	Escherichia coli	Aminoglycosides	487	7
2001	East South Central	Escherichia coli	Aminoglycosides	392	10
2002	East South Central	Escherichia coli	Aminoglycosides	386	7
2003	East South Central	Escherichia coli	Aminoglycosides	375	6
2004	East South Central	Escherichia coli	Aminoglycosides	599	10
2005	East South Central	Escherichia coli	Aminoglycosides	814	12
2006	East South Central	Escherichia coli	Aminoglycosides	313	12
2007	East South Central	Escherichia coli	Aminoglycosides	176	13
2008	East South Central	Escherichia coli	Aminoglycosides	234	18
2009	East South Central	Escherichia coli	Aminoglycosides	210	15
2010	East South Central	Escherichia coli	Aminoglycosides	135	14
2011	East South Central	Escherichia coli	Aminoglycosides	130	16
2012	East South Central	Escherichia coli	Aminoglycosides	92	22
1999	Mid Atlantic	Escherichia coli	Aminoglycosides	574	4
2000	Mid Atlantic	Escherichia coli	Aminoglycosides	1261	7
2001	Mid Atlantic	Escherichia coli	Aminoglycosides	1633	9
2002	Mid Atlantic	Escherichia coli	Aminoglycosides	1616	10
2003	Mid Atlantic	Escherichia coli	Aminoglycosides	1558	10
2004	Mid Atlantic	Escherichia coli	Aminoglycosides	1809	13
2005	Mid Atlantic	Escherichia coli	Aminoglycosides	1767	14
2006	Mid Atlantic	Escherichia coli	Aminoglycosides	1769	16
2007	Mid Atlantic	Escherichia coli	Aminoglycosides	1621	17
2008	Mid Atlantic	Escherichia coli	Aminoglycosides	1594	16
2009	Mid Atlantic	Escherichia coli	Aminoglycosides	1324	17
2010	Mid Atlantic	Escherichia coli	Aminoglycosides	1032	15
2011	Mid Atlantic	Escherichia coli	Aminoglycosides	979	17
2012	Mid Atlantic	Escherichia coli	Aminoglycosides	571	25
1999	Mountain	Escherichia coli	Aminoglycosides	398	4
2000	Mountain	Escherichia coli	Aminoglycosides	449	5
2001	Mountain	Escherichia coli	Aminoglycosides	412	5
2002	Mountain	Escherichia coli	Aminoglycosides	478	8
2003	Mountain	Escherichia coli	Aminoglycosides	557	4
2004	Mountain	Escherichia coli	Aminoglycosides	587	8
2005	Mountain	Escherichia coli	Aminoglycosides	293	15
2006	Mountain	Escherichia coli	Aminoglycosides	163	26
2007	Mountain	Escherichia coli	Aminoglycosides	144	21
2010	Mountain	Escherichia coli	Aminoglycosides	131	10
2011	Mountain	Escherichia coli	Aminoglycosides	97	14
1999	New England	Escherichia coli	Aminoglycosides	220	1
2000	New England	Escherichia coli	Aminoglycosides	202	0
2001	New England	Escherichia coli	Aminoglycosides	145	1
2002	New England	Escherichia coli	Aminoglycosides	151	6
2003	New England	Escherichia coli	Aminoglycosides	196	4
2004	New England	Escherichia coli	Aminoglycosides	239	5
2005	New England	Escherichia coli	Aminoglycosides	502	12
2006	New England	Escherichia coli	Aminoglycosides	683	12
2007	New England	Escherichia coli	Aminoglycosides	674	12
2008	New England	Escherichia coli	Aminoglycosides	502	15
2009	New England	Escherichia coli	Aminoglycosides	256	15
2010	New England	Escherichia coli	Aminoglycosides	320	17
2011	New England	Escherichia coli	Aminoglycosides	341	12
2012	New England	Escherichia coli	Aminoglycosides	135	11
1999	Pacific	Escherichia coli	Aminoglycosides	1298	5
2000	Pacific	Escherichia coli	Aminoglycosides	1598	7
2001	Pacific	Escherichia coli	Aminoglycosides	1831	9
2002	Pacific	Escherichia coli	Aminoglycosides	2083	7
2003	Pacific	Escherichia coli	Aminoglycosides	2309	11
2004	Pacific	Escherichia coli	Aminoglycosides	2397	13
2005	Pacific	Escherichia coli	Aminoglycosides	2598	11
2006	Pacific	Escherichia coli	Aminoglycosides	2471	14
2007	Pacific	Escherichia coli	Aminoglycosides	2608	15
2008	Pacific	Escherichia coli	Aminoglycosides	2160	16
2009	Pacific	Escherichia coli	Aminoglycosides	2064	18
2010	Pacific	Escherichia coli	Aminoglycosides	1941	17
2011	Pacific	Escherichia coli	Aminoglycosides	2126	20
2012	Pacific	Escherichia coli	Aminoglycosides	991	21
1999	South Atlantic	Escherichia coli	Aminoglycosides	1756	4
2000	South Atlantic	Escherichia coli	Aminoglycosides	2588	5
2001	South Atlantic	Escherichia coli	Aminoglycosides	2962	9
2002	South Atlantic	Escherichia coli	Aminoglycosides	3040	8
2003	South Atlantic	Escherichia coli	Aminoglycosides	3166	10
2004	South Atlantic	Escherichia coli	Aminoglycosides	3132	12
2005	South Atlantic	Escherichia coli	Aminoglycosides	3228	14
2006	South Atlantic	Escherichia coli	Aminoglycosides	2517	16
2007	South Atlantic	Escherichia coli	Aminoglycosides	2460	17
2008	South Atlantic	Escherichia coli	Aminoglycosides	2477	19
2009	South Atlantic	Escherichia coli	Aminoglycosides	2198	19
2010	South Atlantic	Escherichia coli	Aminoglycosides	2221	18
2011	South Atlantic	Escherichia coli	Aminoglycosides	2293	23
2012	South Atlantic	Escherichia coli	Aminoglycosides	1118	26
1999	West North Central	Escherichia coli	Aminoglycosides	331	4
2000	West North Central	Escherichia coli	Aminoglycosides	408	5
2001	West North Central	Escherichia coli	Aminoglycosides	514	4
2002	West North Central	Escherichia coli	Aminoglycosides	630	7
2003	West North Central	Escherichia coli	Aminoglycosides	701	7
2004	West North Central	Escherichia coli	Aminoglycosides	770	11
2005	West North Central	Escherichia coli	Aminoglycosides	694	14
2006	West North Central	Escherichia coli	Aminoglycosides	605	14
2007	West North Central	Escherichia coli	Aminoglycosides	641	14
2008	West North Central	Escherichia coli	Aminoglycosides	499	19
2009	West North Central	Escherichia coli	Aminoglycosides	528	15
2010	West North Central	Escherichia coli	Aminoglycosides	478	19
2011	West North Central	Escherichia coli	Aminoglycosides	508	17
2012	West North Central	Escherichia coli	Aminoglycosides	234	18
1999	West South Central	Escherichia coli	Aminoglycosides	1190	3
2000	West South Central	Escherichia coli	Aminoglycosides	1234	3
2001	West South Central	Escherichia coli	Aminoglycosides	1132	6
2002	West South Central	Escherichia coli	Aminoglycosides	1468	7
2003	West South Central	Escherichia coli	Aminoglycosides	1269	10
2004	West South Central	Escherichia coli	Aminoglycosides	1244	12
2005	West South Central	Escherichia coli	Aminoglycosides	1017	13
2006	West South Central	Escherichia coli	Aminoglycosides	1062	16
2007	West South Central	Escherichia coli	Aminoglycosides	1152	19
2008	West South Central	Escherichia coli	Aminoglycosides	1122	17
2009	West South Central	Escherichia coli	Aminoglycosides	1034	17
2010	West South Central	Escherichia coli	Aminoglycosides	934	24
2011	West South Central	Escherichia coli	Aminoglycosides	700	24
2012	West South Central	Escherichia coli	Aminoglycosides	594	19
1999	East North Central	Escherichia coli	Aminopenicillins	1421	41
2000	East North Central	Escherichia coli	Aminopenicillins	1460	43
2001	East North Central	Escherichia coli	Aminopenicillins	1538	46
2002	East North Central	Escherichia coli	Aminopenicillins	1116	45
2003	East North Central	Escherichia coli	Aminopenicillins	1145	49
2004	East North Central	Escherichia coli	Aminopenicillins	1710	49
2005	East North Central	Escherichia coli	Aminopenicillins	1408	54
2006	East North Central	Escherichia coli	Aminopenicillins	1188	53
2007	East North Central	Escherichia coli	Aminopenicillins	1022	52
2008	East North Central	Escherichia coli	Aminopenicillins	947	52
2009	East North Central	Escherichia coli	Aminopenicillins	871	52
2010	East North Central	Escherichia coli	Aminopenicillins	847	56
2011	East North Central	Escherichia coli	Aminopenicillins	945	58
2012	East North Central	Escherichia coli	Aminopenicillins	370	54
