drug_group	state	year	value
overall	Oklahoma	1999	934
overall	Oklahoma	2000	895
overall	Oklahoma	2001	921
overall	Oklahoma	2002	945
overall	Oklahoma	2003	985
overall	Oklahoma	2004	922
overall	Oklahoma	2005	947
overall	Oklahoma	2006	904
overall	Oklahoma	2007	929
overall	Oklahoma	2008	897
overall	Oklahoma	2009	872
overall	Oklahoma	2010	859
overall	Oklahoma	2011	939
overall	Oklahoma	2012	1022
overall	Oregon	1999	759
overall	Oregon	2000	720
overall	Oregon	2001	709
overall	Oregon	2002	685
overall	Oregon	2003	659
overall	Oregon	2004	603
overall	Oregon	2005	653
overall	Oregon	2006	611
overall	Oregon	2007	597
overall	Oregon	2008	602
overall	Oregon	2009	588
overall	Oregon	2010	561
overall	Oregon	2011	665
overall	Oregon	2012	634
overall	Pennsylvania	1999	985
overall	Pennsylvania	2000	970
overall	Pennsylvania	2001	938
overall	Pennsylvania	2002	896
overall	Pennsylvania	2003	947
overall	Pennsylvania	2004	879
overall	Pennsylvania	2005	917
overall	Pennsylvania	2006	899
overall	Pennsylvania	2007	901
overall	Pennsylvania	2008	900
overall	Pennsylvania	2009	874
overall	Pennsylvania	2010	793
overall	Pennsylvania	2011	906
overall	Pennsylvania	2012	891
overall	Rhode Island	1999	945
overall	Rhode Island	2000	974
overall	Rhode Island	2001	921
overall	Rhode Island	2002	888
overall	Rhode Island	2003	957
overall	Rhode Island	2004	863
overall	Rhode Island	2005	952
overall	Rhode Island	2006	968
overall	Rhode Island	2007	966
overall	Rhode Island	2008	942
overall	Rhode Island	2009	965
overall	Rhode Island	2010	883
overall	Rhode Island	2011	955
overall	Rhode Island	2012	971
overall	South Carolina	1999	988
overall	South Carolina	2000	979
overall	South Carolina	2001	960
overall	South Carolina	2002	933
overall	South Carolina	2003	974
overall	South Carolina	2004	855
overall	South Carolina	2005	939
overall	South Carolina	2006	942
overall	South Carolina	2007	931
overall	South Carolina	2008	905
overall	South Carolina	2009	922
overall	South Carolina	2010	883
overall	South Carolina	2011	981
overall	South Carolina	2012	1042
overall	South Dakota	1999	1124
overall	South Dakota	2000	964
overall	South Dakota	2001	979
overall	South Dakota	2002	974
overall	South Dakota	2003	990
overall	South Dakota	2004	931
overall	South Dakota	2005	969
overall	South Dakota	2006	936
overall	South Dakota	2007	871
overall	South Dakota	2008	916
overall	South Dakota	2009	882
overall	South Dakota	2010	841
overall	South Dakota	2011	881
overall	South Dakota	2012	943
overall	Tennessee	1999	1291
overall	Tennessee	2000	1237
overall	Tennessee	2001	1246
overall	Tennessee	2002	1239
overall	Tennessee	2003	1256
overall	Tennessee	2004	1166
overall	Tennessee	2005	1204
overall	Tennessee	2006	1183
overall	Tennessee	2007	1178
overall	Tennessee	2008	1196
overall	Tennessee	2009	1232
overall	Tennessee	2010	1166
overall	Tennessee	2011	1230
overall	Tennessee	2012	1228
overall	Texas	1999	972
overall	Texas	2000	973
overall	Texas	2001	962
overall	Texas	2002	954
overall	Texas	2003	941
overall	Texas	2004	865
overall	Texas	2005	924
overall	Texas	2006	891
overall	Texas	2007	939
overall	Texas	2008	928
overall	Texas	2009	897
overall	Texas	2010	868
overall	Texas	2011	969
overall	Texas	2012	1008
overall	Utah	1999	922
overall	Utah	2000	865
overall	Utah	2001	840
overall	Utah	2002	793
overall	Utah	2003	821
overall	Utah	2004	770
overall	Utah	2005	860
overall	Utah	2006	823
overall	Utah	2007	807
overall	Utah	2008	818
overall	Utah	2009	806
overall	Utah	2010	794
overall	Utah	2011	882
overall	Utah	2012	878
overall	Vermont	1999	866
overall	Vermont	2000	862
overall	Vermont	2001	808
overall	Vermont	2002	767
overall	Vermont	2003	790
overall	Vermont	2004	750
overall	Vermont	2005	745
overall	Vermont	2006	741
overall	Vermont	2007	710
overall	Vermont	2008	672
overall	Vermont	2009	658
overall	Vermont	2010	631
overall	Vermont	2011	737
overall	Vermont	2012	741
overall	Virginia	1999	919
overall	Virginia	2000	897
overall	Virginia	2001	857
overall	Virginia	2002	818
overall	Virginia	2003	854
overall	Virginia	2004	782
overall	Virginia	2005	835
overall	Virginia	2006	820
overall	Virginia	2007	820
overall	Virginia	2008	831
overall	Virginia	2009	822
overall	Virginia	2010	770
overall	Virginia	2011	920
overall	Virginia	2012	928
overall	Washington	1999	745
overall	Washington	2000	711
overall	Washington	2001	709
overall	Washington	2002	700
overall	Washington	2003	683
overall	Washington	2004	631
overall	Washington	2005	674
overall	Washington	2006	637
overall	Washington	2007	631
overall	Washington	2008	631
overall	Washington	2009	618
overall	Washington	2010	575
overall	Washington	2011	682
overall	Washington	2012	654
overall	West Virginia	1999	1201
overall	West Virginia	2000	1182
overall	West Virginia	2001	1237
overall	West Virginia	2002	1203
overall	West Virginia	2003	1255
overall	West Virginia	2004	1164
overall	West Virginia	2005	1200
overall	West Virginia	2006	1202
overall	West Virginia	2007	1211
overall	West Virginia	2008	1258
overall	West Virginia	2009	1282
overall	West Virginia	2010	1186
overall	West Virginia	2011	1346
overall	West Virginia	2012	1320
overall	Wisconsin	1999	817
overall	Wisconsin	2000	751
overall	Wisconsin	2001	761
overall	Wisconsin	2002	714
overall	Wisconsin	2003	720
overall	Wisconsin	2004	700
overall	Wisconsin	2005	730
overall	Wisconsin	2006	720
overall	Wisconsin	2007	724
overall	Wisconsin	2008	719
overall	Wisconsin	2009	728
overall	Wisconsin	2010	722
overall	Wisconsin	2011	811
overall	Wisconsin	2012	805
overall	Wyoming	1999	975
overall	Wyoming	2000	873
overall	Wyoming	2001	907
overall	Wyoming	2002	858
overall	Wyoming	2003	893
overall	Wyoming	2004	801
overall	Wyoming	2005	866
overall	Wyoming	2006	859
overall	Wyoming	2007	849
overall	Wyoming	2008	838
overall	Wyoming	2009	787
overall	Wyoming	2010	751
overall	Wyoming	2011	840
overall	Wyoming	2012	870
broad_spectrum_penicillin	Alabama	1999	241
broad_spectrum_penicillin	Alabama	2000	236
broad_spectrum_penicillin	Alabama	2001	253
broad_spectrum_penicillin	Alabama	2002	262
broad_spectrum_penicillin	Alabama	2003	284
broad_spectrum_penicillin	Alabama	2004	263
broad_spectrum_penicillin	Alabama	2005	290
broad_spectrum_penicillin	Alabama	2006	302
broad_spectrum_penicillin	Alabama	2007	286
broad_spectrum_penicillin	Alabama	2008	281
broad_spectrum_penicillin	Alabama	2009	286
broad_spectrum_penicillin	Alabama	2010	276
broad_spectrum_penicillin	Alabama	2011	289
broad_spectrum_penicillin	Alabama	2012	300
broad_spectrum_penicillin	Alaska	1999	93
broad_spectrum_penicillin	Alaska	2000	123
broad_spectrum_penicillin	Alaska	2001	153
broad_spectrum_penicillin	Alaska	2002	162
broad_spectrum_penicillin	Alaska	2003	166
broad_spectrum_penicillin	Alaska	2004	137
broad_spectrum_penicillin	Alaska	2005	141
broad_spectrum_penicillin	Alaska	2006	138
broad_spectrum_penicillin	Alaska	2007	144
broad_spectrum_penicillin	Alaska	2008	144
broad_spectrum_penicillin	Alaska	2009	141
broad_spectrum_penicillin	Alaska	2010	137
broad_spectrum_penicillin	Alaska	2011	143
broad_spectrum_penicillin	Alaska	2012	131
broad_spectrum_penicillin	Arizona	1999	174
broad_spectrum_penicillin	Arizona	2000	173
broad_spectrum_penicillin	Arizona	2001	197
broad_spectrum_penicillin	Arizona	2002	205
